Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Gujarat Narmada Valley Fert & Chem,395.35,3.10%,390.7,"2,29,192","5,809.30",9.07,2.27,573.75,380,-14.53%,-19.22%,-20.69%,-24.79%,32.16%,0.65,4.68%,16.08%,8.25%,35.86,452.8,499.04,27.97,69.14%,80.00%
Oil & Natural Gas Corporation,269.95,1.70%,268.55,"1,18,79,128","3,39,604.64",7.42,-425.63,293,205,-2.07%,14.63%,10.71%,76.67%,151.94%,0.91,4.62%,15.64%,11.31%,36.35,264.27,247.59,46.62,76.00%,89.44%
Ganesh Consumer Products,164.01,1.48%,164.6,"68,727",662.81,17.39,41.16,309.95,152,-8.71%,-28.54%,-44.27%,-44.27%,-44.27%,1.77,4.61%,-,22.06%,-,186.58,-,40.57,-,-
Alphageo,180.2,0.53%,178.22,"13,915",114.69,-7.79,32.3,298,172.8,-11.33%,-19.83%,-25.06%,-17.77%,-6.56%,0.44,4.52%,-,-2.82%,-,206.22,240.65,33.42,50.00%,-
GOCL Corporation,266.6,18.49%,247.1,"49,19,146","1,321.60",0.75,42.57,417.5,223.35,5.84%,-9.38%,-8.93%,-15.30%,16.11%,0.4,4.47%,14.98%,8.43%,15.79,257.56,323.9,34.22,50.00%,-
HCL Technologies,"1,384.30",1.89%,"1,380.00","20,21,812","3,75,652.66",22.38,24.06,"1,780.10","1,297.70",-2.94%,-17.60%,-13.71%,29.87%,41.13%,5.17,4.42%,23.01%,30.84%,60.53,"1,513.23","1,552.87",42.07,76.00%,90.33%
NMDC,76.35,1.68%,77.45,"1,52,82,210","67,125.53",9.56,-2.55,86.72,59.53,-3.24%,-6.35%,9.81%,106.46%,146.05%,2.03,4.40%,24.47%,29.74%,20.82,80.72,75.75,38.99,75.15%,87.07%
Ahlada Engineers,37.15,2.03%,36.43,"15,337",48,22.9,16.94,81,34.51,-19.87%,-25.95%,-42.41%,-58.79%,-61.84%,0.34,4.39%,-,7.28%,-,47.2,56.52,26.22,50.00%,-
IL&FS Investment Managers,6.46,0.78%,6.74,"2,47,330",202.87,14.93,31.31,10.53,6.02,-13.98%,-20.93%,-29.78%,4.19%,57.56%,0.98,4.36%,-,6.47%,-,7.46,8.19,19.96,50.00%,-
La Opala RG,180.34,1.81%,181.6,"97,829","2,001.77",19.4,19.2,287,176.22,-14.08%,-12.24%,-21.44%,-46.05%,-16.14%,2.46,4.22%,15.87%,15.88%,11.05,196.03,228.56,30.42,50.00%,-
Petronet LNG,239.65,0.67%,243.1,"35,70,446","35,947.50",9.82,32.3,326.5,235.35,-21.80%,-14.23%,-21.22%,4.51%,4.42%,1.69,4.20%,20.26%,23.63%,26.26,290.83,285.66,28.85,76.00%,80.00%
Saraswati Saree Depot,54.43,0.61%,56.8,"24,246",215.54,7.29,6.52,108,53.3,-15.15%,-31.21%,-41.60%,-73.28%,-73.28%,1.27,4.18%,-,64.46%,-,65.84,83.04,29.23,60.00%,-
Kuantum Papers,73.02,1.43%,72.25,"45,926",637.2,11.67,17.52,135,71.51,-18.51%,-21.09%,-35.36%,-42.32%,4.91%,0.52,4.17%,16.36%,10.90%,17.98,87.11,104.1,29.06,50.00%,-
Gateway Distriparks,51.27,5.75%,49.55,"16,93,353","2,561.67",537.67,32.3,76.5,48.1,-15.14%,-19.58%,-18.41%,-16.84%,-29.14%,1.07,4.13%,13.53%,14.19%,4.8,57.53,61.99,23.66,70.26%,65.00%
